gene_locus	gene_id	chr	start	stop	n_snps	n_pcs	phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p
MXRA8	ENSG00000162576	1	1188069	1397157	267	42	PD_nalls2019	pqtls_MXRA8	-0.355397	-0.58556	-0.12388	0.126307	0.01535	0.34288	0.00354535
VWA1	ENSG00000179403	1	1270241	1478262	201	33	PD_nalls2019	pqtls_VWA1	-0.039189	-0.2198	0.14593	0.00153578	0	0.05023	0.66869
NADK	ENSG00000008130	1	1582671	1811896	106	13	CD_delange2017	pqtls_NADK	-0.316404	-0.54234	-0.08327	0.100112	0.00721	0.29414	0.0096079
NADK	ENSG00000008130	1	1582671	1811896	101	11	PD_nalls2019	pqtls_NADK	0.00139	-0.20446	0.20014	1.93211e-06	0	0.05334	0.989294
PARK7	ENSG00000116288	1	7914351	8145565	471	82	PD_nalls2019	pqtls_PARK7	-0.0942266	-0.21707	0.02373	0.00887865	0	0.04712	0.121596
CA6	ENSG00000131686	1	8905926	9135151	596	158	PD_nalls2019	pqtls_CA6	0.0197147	-0.03091	0.06951	0.000388669	0	0.00486	0.434668
H6PD	ENSG00000049239	1	9194834	9431396	708	173	CD_delange2017	pqtls_H6PD	0.1775	-0.02325	0.38313	0.0315064	0	0.14679	0.0797629
H6PD	ENSG00000049239	1	9194834	9431396	703	172	PD_nalls2019	pqtls_H6PD	-0.0648839	-0.10874	-0.02112	0.00420992	0.00045	0.01182	0.00450193
H6PD	ENSG00000049239	1	9194834	9431396	708	173	UC_delange2017	pqtls_H6PD	0.312145	0.10584	0.55295	0.0974347	0.01126	0.30575	0.00386548
CLSTN1	ENSG00000171603	1	9689084	9984584	373	111	PD_nalls2019	pqtls_CLSTN1	-0.115169	-0.18969	-0.03977	0.013264	0.00158	0.03598	0.00287112
RBP7	ENSG00000162444	1	9957264	10176078	280	53	PD_nalls2019	pqtls_RBP7	0.0400722	-0.05522	0.134	0.00160578	0	0.01796	0.40348
PGD	ENSG00000142657	1	10358649	10580201	459	61	PD_nalls2019	pqtls_PGD	-0.0773062	-0.1922	0.03639	0.00597625	0	0.03694	0.189132
TNFRSF1B	ENSG00000028137	1	12127060	12369285	475	144	PD_nalls2019	pqtls_TNFRSF1B	-0.0106433	-0.09967	0.07852	0.000113281	0	0.01102	0.815448
CELA2A	ENSG00000142615	1	15683223	15898586	553	113	PD_nalls2019	pqtls_CELA2A	0.111267	-0.10032	0.33219	0.0123804	0	0.11035	0.294998
EPHA2	ENSG00000142627	1	16350832	16582582	597	115	PD_nalls2019	pqtls_EPHA2	0.0117326	-0.08708	0.10875	0.000137653	0	0.01301	0.816625
MFAP2	ENSG00000117122	1	17200997	17407330	383	55	PD_nalls2019	pqtls_MFAP2	0.0523914	-0.04816	0.15255	0.00274486	0	0.02327	0.300683
AKR7A3	ENSG00000162482	1	19509052	19715744	580	75	PD_nalls2019	pqtls_AKR7A3	-0.0678008	-0.16145	0.02626	0.00459694	0	0.02607	0.148286
AKR7A2	ENSG00000053371	1	19530459	19738640	614	78	PD_nalls2019	pqtls_AKR7A2	0.121058	0.03582	0.20476	0.0146552	0.00128	0.04193	0.00495735
NBL1	ENSG00000158747	1	19867048	20084945	579	104	PD_nalls2019	pqtls_NBL1	-0.223897	-0.37512	-0.06808	0.0501297	0.00463	0.14072	0.00523799
NBL1	ENSG00000158747	1	19867048	20084945	581	103	UC_delange2017	pqtls_NBL1	-0.0233064	-0.27412	0.22815	0.000543188	0	0.08662	0.850768
PLA2G2A	ENSG00000188257	1	20201925	20406932	531	96	UC_delange2017	pqtls_PLA2G2A	-0.0695756	-0.18939	0.04987	0.00484076	0	0.03587	0.251647
DDOST	ENSG00000244038	1	20878270	21088000	700	114	PD_nalls2019	pqtls_DDOST	0.185353	0.03407	0.3316	0.0343556	0.00131	0.10996	0.0146349
HSPG2	ENSG00000142798	1	22048738	22363790	1028	142	CD_delange2017	pqtls_HSPG2	-0.184034	-0.45261	0.0661	0.0338685	0	0.20485	0.148123
HSPG2	ENSG00000142798	1	22048738	22363790	926	132	PD_nalls2019	pqtls_HSPG2	-0.0388562	-0.13055	0.05526	0.0015098	0	0.01707	0.412796
HSPG2	ENSG00000142798	1	22048738	22363790	1027	141	UC_delange2017	pqtls_HSPG2	0.0335698	-0.1926	0.26247	0.00112693	0	0.07475	0.769106
HSPG2	ENSG00000142798	1	22048738	22363790	962	111	MS_imsgc2019	pqtls_HSPG2	0.0728373	-0.16074	0.30442	0.00530528	0	0.09422	0.53253
C1QC	ENSG00000159189	1	22870123	23074603	477	116	PD_nalls2019	pqtls_C1QC	0.106676	0.01685	0.19776	0.0113798	0.00038	0.03911	0.0227002
EPHB2	ENSG00000133216	1	22937332	23341818	792	183	PD_nalls2019	pqtls_EPHB2	-0.0238542	-0.10193	0.0534	0.000569025	0	0.0105	0.552692
CLIC4	ENSG00000169504	1	24971848	25270815	461	115	PD_nalls2019	pqtls_CLIC4	0.117171	0.0049	0.22609	0.013729	0.00017	0.05112	0.0419943
MAN1C1	ENSG00000117643	1	25843959	26212698	541	128	PD_nalls2019	pqtls_MAN1C1	0.0405448	-0.04864	0.12875	0.00164388	0	0.01658	0.370208
STMN1	ENSG00000117632	1	26110672	26333482	366	79	PD_nalls2019	pqtls_STMN1	0.25713	0.0268	0.50103	0.0661157	0.00145	0.25103	0.0301072
SH3BGRL3	ENSG00000142669	1	26505667	26708007	577	58	PD_nalls2019	pqtls_SH3BGRL3	-0.0341734	-0.20533	0.13384	0.00116782	0	0.0434	0.690075
