gene_locus	gene_name	chr	start	stop	n_snps	n_pcs	phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p
ENSG00000117280	RAB7L1	1	205637114	205844588	28	7	PD_blauwendraat2019	CD4NC_onek1k_ENSG00000117280	0.9055	0.59263	1	0.819931	0.35121	1	0.000821927
ENSG00000170234	PWWP2A	5	159388808	159646430	78	12	PD_blauwendraat2019	CD8ET_onek1k_ENSG00000170234	0.482798	-0.08519	1	0.233094	0	1	0.0915663
ENSG00000198502	HLA_DRB5	6	32385120	32598064	6	3	PD_blauwendraat2019	MonoC_onek1k_ENSG00000198502	-0.77581	-1	-0.37237	0.601881	0.13923	1	0.00244126
ENSG00000179344	HLA_DQB1	6	32527244	32736160	5	5	PD_blauwendraat2019	CD8ET_onek1k_ENSG00000179344	-0.0630459	-0.69889	0.55733	0.00397479	0	0.57679	0.823393
ENSG00000147421	HMBOX1	8	28647911	29022281	171	26	PD_blauwendraat2019	BIN_onek1k_ENSG00000147421	-0.51276	-0.80013	-0.23235	0.262923	0.05399	0.6402	0.00100284
ENSG00000147421	HMBOX1	8	28647911	29022281	177	26	PD_blauwendraat2019	BMem_onek1k_ENSG00000147421	-0.591646	-0.91889	-0.276	0.350045	0.07618	0.84436	0.000993568
ENSG00000147421	HMBOX1	8	28647911	29022281	163	25	PD_blauwendraat2019	CD4ET_onek1k_ENSG00000147421	-0.244091	-0.62632	0.12631	0.0595804	0	0.39228	0.187306
ENSG00000147421	HMBOX1	8	28647911	29022281	255	30	PD_blauwendraat2019	CD4NC_onek1k_ENSG00000147421	-0.493095	-0.80953	-0.20451	0.243143	0.04182	0.65534	0.00201505
ENSG00000147421	HMBOX1	8	28647911	29022281	242	28	PD_blauwendraat2019	CD8ET_onek1k_ENSG00000147421	-0.360775	-0.65964	-0.06292	0.130158	0.0047	0.43512	0.0187785
ENSG00000147421	HMBOX1	8	28647911	29022281	185	29	PD_blauwendraat2019	CD8NC_onek1k_ENSG00000147421	-0.464572	-0.80673	-0.14988	0.215827	0.02249	0.65081	0.0063345
ENSG00000120088	CRHR1	17	43599267	44013194	4	4	PD_blauwendraat2019	CD8NC_onek1k_ENSG00000120088	-1	-1	-0.88956	1	0.79132	1	3.17655e-06
ENSG00000214401	KANSL1_AS1	17	44170942	44374089	33	10	PD_blauwendraat2019	BIN_onek1k_ENSG00000214401	-0.998743	-1	-0.90158	0.997488	0.81285	1	2.44135e-11
ENSG00000214401	KANSL1_AS1	17	44170942	44374089	171	6	PD_blauwendraat2019	BMem_onek1k_ENSG00000214401	-1	-1	-0.91715	1	0.84116	1	5.51089e-11
ENSG00000214401	KANSL1_AS1	17	44170942	44374089	185	7	PD_blauwendraat2019	CD4ET_onek1k_ENSG00000214401	-1	-1	-0.92865	1	0.8624	1	2.18072e-12
ENSG00000214401	KANSL1_AS1	17	44170942	44374089	13	5	PD_blauwendraat2019	CD8ET_onek1k_ENSG00000214401	-1	-1	-0.88475	1	0.78278	1	6.51185e-08
ENSG00000214401	KANSL1_AS1	17	44170942	44374089	21	6	PD_blauwendraat2019	CD8NC_onek1k_ENSG00000214401	-0.998018	-1	-0.90284	0.996039	0.81512	1	1.7282e-09
ENSG00000214401	KANSL1_AS1	17	44170942	44374089	163	5	PD_blauwendraat2019	MonoC_onek1k_ENSG00000214401	-1	-1	-0.91785	1	0.84245	1	5.90499e-09
