gene_locus	gene_name	chr	start	stop	n_snps	n_pcs	phen	h2.obs	p	qtl_dataset
ENSG00000158869	FCER1G	1	161085024	161290489	74	19	AD_kunkle2019	0.000127331	0.0999111	MonoC
ENSG00000158869	FCER1G	1	161085024	161290489	74	19	MonoC_onek1k_ENSG00000158869	0.141659	1.00016e-25	MonoC
ENSG00000158869	FCER1G	1	161085024	161290489	74	19	AD_wightman2021	5.52227e-05	3.59508e-06	MonoC
ENSG00000136717	BIN1	2	127705603	127964931	9	6	AD_kunkle2019	0.000841978	3.6468e-11	BMem
ENSG00000136717	BIN1	2	127705603	127964931	9	6	BMem_onek1k_ENSG00000136717	0.0344978	3.98942e-07	BMem
ENSG00000136717	BIN1	2	127705603	127964931	9	6	AD_wightman2021	0.000185011	1.16007e-23	BMem
ENSG00000136717	BIN1	2	127705603	127964931	100	17	AD_kunkle2019	0.00227845	1.94796e-26	CD4ET
ENSG00000136717	BIN1	2	127705603	127964931	100	17	CD4ET_onek1k_ENSG00000136717	0.0839378	3.55343e-14	CD4ET
ENSG00000136717	BIN1	2	127705603	127964931	100	17	AD_wightman2021	0.000424455	7.7717e-61	CD4ET
ENSG00000136717	BIN1	2	127705603	127964931	221	25	AD_kunkle2019	0.00233002	3.22287e-25	CD4NC
ENSG00000136717	BIN1	2	127705603	127964931	221	25	CD4NC_onek1k_ENSG00000136717	0.307885	2.54117e-65	CD4NC
ENSG00000136717	BIN1	2	127705603	127964931	221	25	AD_wightman2021	0.000453168	2.89544e-62	CD4NC
ENSG00000136717	BIN1	2	127705603	127964931	207	24	AD_kunkle2019	0.0024376	7.46058e-27	CD8ET
ENSG00000136717	BIN1	2	127705603	127964931	207	24	CD8ET_onek1k_ENSG00000136717	0.268335	8.17478e-55	CD8ET
ENSG00000136717	BIN1	2	127705603	127964931	207	24	AD_wightman2021	0.000446928	2.4003e-61	CD8ET
ENSG00000136717	BIN1	2	127705603	127964931	170	20	AD_kunkle2019	0.00232435	2.33677e-26	CD8NC
ENSG00000136717	BIN1	2	127705603	127964931	170	20	CD8NC_onek1k_ENSG00000136717	0.146324	1.87946e-26	CD8NC
