gene_locus	gene_id	chr	start	stop	n_snps	n_pcs	phen	h2.obs	p	qtl_dataset
NEGR1	ENSG00000172260	1	71761623	72848417	923	137	PD_blauwendraat2019	0.000236643	0.332457	pqtls
NEGR1	ENSG00000172260	1	71761623	72848417	923	137	pqtls_NEGR1	0.0566526	1.96599e-51	pqtls
TGFBR3	ENSG00000069702	1	92045902	92471892	1161	163	PD_blauwendraat2019	0.00162922	0.0101915	pqtls
TGFBR3	ENSG00000069702	1	92045902	92471892	1161	163	pqtls_TGFBR3	0.0564907	1.00499e-47	pqtls
ACP6	ENSG00000162836	1	147001453	147242618	304	70	PD_blauwendraat2019	0.000311128	0.241987	pqtls
ACP6	ENSG00000162836	1	147001453	147242618	304	70	pqtls_ACP6	0.550595	0	pqtls
S100A16	ENSG00000188643	1	153479362	153685621	318	84	PD_blauwendraat2019	0.000428338	0.176986	pqtls
S100A16	ENSG00000188643	1	153479362	153685621	318	84	pqtls_S100A16	0.0832132	3.37937e-99	pqtls
CD48	ENSG00000117091	1	160548536	160781641	550	114	PD_blauwendraat2019	0.000654611	0.130063	pqtls
CD48	ENSG00000117091	1	160548536	160781641	550	114	pqtls_CD48	0.169515	9.55099999999999e-229	pqtls
FCGR2A	ENSG00000143226	1	161375220	161593803	282	73	PD_blauwendraat2019	0.00208825	4.8753e-05	pqtls
FCGR2A	ENSG00000143226	1	161375220	161593803	282	73	pqtls_FCGR2A	0.42235	0	pqtls
CFH	ENSG00000000971	1	196521008	196816634	281	49	PD_blauwendraat2019	0.000377598	0.153093	pqtls
CFH	ENSG00000000971	1	196521008	196816634	281	49	pqtls_CFH	0.154189	4.87756e-230	pqtls
CNTN2	ENSG00000184144	1	204912325	205147627	594	100	PD_blauwendraat2019	0.00236783	6.25297e-05	pqtls
CNTN2	ENSG00000184144	1	204912325	205147627	594	100	pqtls_CNTN2	0.428894	0	pqtls
CR2	ENSG00000117322	1	207527575	207763240	326	69	PD_blauwendraat2019	0.000180007	0.317894	pqtls
CR2	ENSG00000117322	1	207527575	207763240	326	69	pqtls_CR2	0.0356917	1.13569e-35	pqtls
COLEC11	ENSG00000118004	2	3542426	3792048	626	140	PD_blauwendraat2019	0.00191722	0.00551419	pqtls
COLEC11	ENSG00000118004	2	3542426	3792048	626	140	pqtls_COLEC11	0.227894	1.97626258336499e-323	pqtls
RAB1A	ENSG00000138069	2	65197835	65457240	582	98	PD_blauwendraat2019	0.000547088	0.144226	pqtls
RAB1A	ENSG00000138069	2	65197835	65457240	582	98	pqtls_RAB1A	0.0317185	1.03728e-26	pqtls
UXS1	ENSG00000115652	2	106609759	106910795	801	114	PD_blauwendraat2019	3.87662e-05	0.432557	pqtls
UXS1	ENSG00000115652	2	106609759	106910795	801	114	pqtls_UXS1	0.0472897	3.54595e-43	pqtls
BIN1	ENSG00000136717	2	127705603	127964931	859	131	PD_blauwendraat2019	0.00092318	0.0717712	pqtls
BIN1	ENSG00000136717	2	127705603	127964931	859	131	pqtls_BIN1	0.0350963	5.35867e-27	pqtls
CAB39	ENSG00000135932	2	231477560	231785790	743	159	pqtls_CAB39	0.0372566	9.01155e-27	pqtls
CLEC3B	ENSG00000163815	3	44943040	45177563	447	110	PD_blauwendraat2019	0.00132412	0.0101946	pqtls
CLEC3B	ENSG00000163815	3	44943040	45177563	447	110	pqtls_CLEC3B	0.0854625	9.67051e-96	pqtls
CDCP1	ENSG00000163814	3	45023770	45287914	913	130	PD_blauwendraat2019	0.00142114	0.00956609	pqtls
CDCP1	ENSG00000163814	3	45023770	45287914	913	130	pqtls_CDCP1	0.123693	3.71044e-148	pqtls
CPB1	ENSG00000153002	3	148408889	148677974	712	131	PD_blauwendraat2019	0.000716657	0.137506	pqtls
CPB1	ENSG00000153002	3	148408889	148677974	712	131	pqtls_CPB1	0.128007	1.24925e-154	pqtls
HRG	ENSG00000113905	3	186278005	186496029	631	137	PD_blauwendraat2019	0.000332874	0.259752	pqtls
HRG	ENSG00000113905	3	186278005	186496029	631	137	pqtls_HRG	0.465627	0	pqtls
BST1	ENSG00000109743	4	15604573	15839936	633	77	PD_blauwendraat2019	0.00181517	0.00025573	pqtls
BST1	ENSG00000109743	4	15604573	15839936	633	77	pqtls_BST1	0.506349	0	pqtls
UGDH	ENSG00000109814	4	39400375	39629931	606	92	pqtls_UGDH	0.143477	1.21838e-192	pqtls
UNC5C	ENSG00000182168	4	95983655	96570357	1502	207	PD_blauwendraat2019	0.000297619	0.314957	pqtls
UNC5C	ENSG00000182168	4	95983655	96570357	1502	207	pqtls_UNC5C	0.157481	1.38984e-180	pqtls
ESM1	ENSG00000164283	5	54173692	54418499	527	102	PD_blauwendraat2019	0.00044324	0.212617	pqtls
ESM1	ENSG00000164283	5	54173692	54418499	527	102	pqtls_ESM1	0.0450682	3.30896e-42	pqtls
CLPS	ENSG00000137392	6	35662759	35865088	397	74	PD_blauwendraat2019	0.000517814	0.109031	pqtls
CLPS	ENSG00000137392	6	35662759	35865088	397	74	pqtls_CLPS	0.157488	5.70923e-224	pqtls
TREML2	ENSG00000112195	6	41058015	41268932	467	76	PD_blauwendraat2019	0.00182813	0.000232826	pqtls
TREML2	ENSG00000112195	6	41058015	41268932	467	76	pqtls_TREML2	0.19764	2.50011e-295	pqtls
ENPP5	ENSG00000112796	6	46026924	46238708	386	77	PD_blauwendraat2019	0.000492407	0.140286	pqtls
ENPP5	ENSG00000112796	6	46026924	46238708	386	77	pqtls_ENPP5	0.515705	0	pqtls
SNX8	ENSG00000106266	7	2191405	2493953	675	138	PD_blauwendraat2019	0.000820034	0.117684	pqtls
SNX8	ENSG00000106266	7	2191405	2493953	675	138	pqtls_SNX8	0.0556528	4.76663e-50	pqtls
GPNMB	ENSG00000136235	7	23175586	23414727	389	64	PD_blauwendraat2019	0.00140398	0.00137183	pqtls
GPNMB	ENSG00000136235	7	23175586	23414727	389	64	pqtls_GPNMB	0.0854975	7.61213e-109	pqtls
VWC2	ENSG00000188730	7	49713257	50061546	649	93	PD_blauwendraat2019	0.000490904	0.166738	pqtls
VWC2	ENSG00000188730	7	49713257	50061546	649	93	pqtls_VWC2	0.221365	0	pqtls
ADAM22	ENSG00000008277	7	87463458	87932204	579	103	PD_blauwendraat2019	0.000146085	0.370192	pqtls
ADAM22	ENSG00000008277	7	87463458	87932204	579	103	pqtls_ADAM22	0.199607	1.33794e-286	pqtls
CTSB	ENSG00000164733	8	11600033	11826957	890	128	PD_blauwendraat2019	0.00117002	0.0295149	pqtls
CTSB	ENSG00000164733	8	11600033	11826957	890	128	pqtls_CTSB	0.325979	0	pqtls
SCARA5	ENSG00000168079	8	27627399	27950244	1022	148	PD_blauwendraat2019	0.0021796	0.000991026	pqtls
SCARA5	ENSG00000168079	8	27627399	27950244	1022	148	pqtls_SCARA5	0.0618317	2.77056e-56	pqtls
SNTB1	ENSG00000172164	8	121447985	121925513	997	132	PD_blauwendraat2019	0	0.460855	pqtls
SNTB1	ENSG00000172164	8	121447985	121925513	997	132	pqtls_SNTB1	0.0164822	2.14235e-09	pqtls
TEK	ENSG00000120156	9	27009139	27330173	1088	170	PD_blauwendraat2019	0.00075312	0.131449	pqtls
TEK	ENSG00000120156	9	27009139	27330173	1088	170	pqtls_TEK	0.139132	2.21328e-161	pqtls
GOLM1	ENSG00000135052	9	88541061	88815088	454	94	pqtls_GOLM1	0.0998117	1.49857e-121	pqtls
ST6GALNAC6	ENSG00000160408	9	130547600	130767687	391	96	pqtls_ST6GALNAC6	0.0157641	1.81365e-10	pqtls
FCN2	ENSG00000160339	9	137672654	137879924	694	167	PD_blauwendraat2019	0.00120368	0.0522056	pqtls
FCN2	ENSG00000160339	9	137672654	137879924	694	167	pqtls_FCN2	0.391146	0	pqtls
AKR1C4	ENSG00000198610	10	5137425	5360912	782	65	pqtls_AKR1C4	0.43739	0	pqtls
IL15RA	ENSG00000134470	10	5890855	6120150	813	151	PD_blauwendraat2019	0	0.473793	pqtls
IL15RA	ENSG00000134470	10	5890855	6120150	813	151	pqtls_IL15RA	0.509716	0	pqtls
CDNF	ENSG00000185267	10	14761249	14980574	441	109	PD_blauwendraat2019	0.00128604	0.0256809	pqtls
CDNF	ENSG00000185267	10	14761249	14980574	441	109	pqtls_CDNF	0.0941427	8.84675e-109	pqtls
PIP4K2A	ENSG00000150867	10	22723778	23103484	779	112	PD_blauwendraat2019	0.00156466	0.00784329	pqtls
PIP4K2A	ENSG00000150867	10	22723778	23103484	779	112	pqtls_PIP4K2A	0.0884768	1.18795e-99	pqtls
PCBD1	ENSG00000166228	10	72542037	72748541	723	127	PD_blauwendraat2019	0.00221339	0.00058484	pqtls
PCBD1	ENSG00000166228	10	72542037	72748541	723	127	pqtls_PCBD1	0.0655747	1.64402e-64	pqtls
ANXA11	ENSG00000122359	10	81810645	82065328	753	87	PD_blauwendraat2019	4.27103e-05	0.429801	pqtls
ANXA11	ENSG00000122359	10	81810645	82065328	753	87	pqtls_ANXA11	0.260839	0	pqtls
SMPD1	ENSG00000166311	11	6311655	6516228	407	147	PD_blauwendraat2019	0.00064403	0.136682	pqtls
SMPD1	ENSG00000166311	11	6311655	6516228	407	147	pqtls_SMPD1	0.218934	3.83099e-304	pqtls
ARRB1	ENSG00000137486	11	74875226	75162873	513	135	PD_blauwendraat2019	0.00168274	0.00604693	pqtls
ARRB1	ENSG00000137486	11	74875226	75162873	513	135	pqtls_ARRB1	0.188032	3.17045e-253	pqtls
MMP10	ENSG00000166670	11	102541234	102751359	641	103	pqtls_MMP10	0.173831	1.76496e-240	pqtls
MMP1	ENSG00000196611	11	102560651	102768891	612	111	PD_blauwendraat2019	0.000188778	0.327383	pqtls
MMP1	ENSG00000196611	11	102560651	102768891	612	111	pqtls_MMP1	0.18601	8.6735e-259	pqtls
ESAM	ENSG00000149564	11	124522026	124732186	406	114	PD_blauwendraat2019	3.02464e-06	0.462238	pqtls
ESAM	ENSG00000149564	11	124522026	124732186	406	114	pqtls_ESAM	0.102377	8.01009e-120	pqtls
SELPLG	ENSG00000110876	12	108915686	109127735	459	83	pqtls_SELPLG	0.0673568	3.85058e-76	pqtls
TESC	ENSG00000088992	12	117376728	117637284	495	82	PD_blauwendraat2019	0.00134428	0.009336	pqtls
TESC	ENSG00000088992	12	117376728	117637284	495	82	pqtls_TESC	0.0824696	1.19913e-98	pqtls
