ld_block	gene_locus	gene_name	chr	start	stop	n_snps	n_pcs	phen	h2.obs	p	qtl_dataset
1	ENSG00000187608	ISG15	1	848803	1049920	36	14	AD_schwartzentruber2021	2.35034e-05	0.0338911	CD8ET
1	ENSG00000187608	ISG15	1	848803	1049920	36	14	CD8ET_onek1k_ENSG00000187608	0.071557	1.95198e-12	CD8ET
1	ENSG00000187608	ISG15	1	848803	1049920	31	12	CD8ET_onek1k_ENSG00000187608	0.0721384	4.73601e-13	CD8ET
1	ENSG00000187608	ISG15	1	848803	1049920	23	11	LBD_chia2021	0.000284401	0.287411	CD8ET
1	ENSG00000187608	ISG15	1	848803	1049920	23	11	CD8ET_onek1k_ENSG00000187608	0.0705078	5.43898e-13	CD8ET
1	ENSG00000187608	ISG15	1	848803	1049920	33	14	UC_delange2017	2.22906e-05	0.363061	CD8ET
1	ENSG00000187608	ISG15	1	848803	1049920	33	14	CD8ET_onek1k_ENSG00000187608	0.0713189	2.17413e-12	CD8ET
1	ENSG00000187608	ISG15	1	848803	1049920	19	7	CD8ET_onek1k_ENSG00000187608	0.0700486	3.6762e-14	CD8ET
1	ENSG00000187608	ISG15	1	848803	1049920	29	9	AD_schwartzentruber2021	3.88938e-06	0.28625	CD8NC
1	ENSG00000187608	ISG15	1	848803	1049920	29	9	CD8NC_onek1k_ENSG00000187608	0.0360694	9.93596e-07	CD8NC
1	ENSG00000187608	ISG15	1	848803	1049920	26	9	CD8NC_onek1k_ENSG00000187608	0.0357927	1.11926e-06	CD8NC
1	ENSG00000187608	ISG15	1	848803	1049920	17	7	CD8NC_onek1k_ENSG00000187608	0.037355	1.98265e-07	CD8NC
1	ENSG00000187608	ISG15	1	848803	1049920	26	9	UC_delange2017	6.77544e-05	0.20506	CD8NC
1	ENSG00000187608	ISG15	1	848803	1049920	16	5	CD8NC_onek1k_ENSG00000187608	0.0358242	1.10131e-07	CD8NC
2	ENSG00000162585	C1orf86	1	2015903	2244159	2	2	BIN_onek1k_ENSG00000162585	0.0480375	1.26057e-11	BIN
2	ENSG00000162585	C1orf86	1	2015903	2244159	2	2	SCZ_pardinas2018	6.95e-05	0.00927634	BIN
