gene_locus	gene_name	chr	start	stop	n_snps	n_pcs	phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p
ENSG00000162585	C1orf86	1	2015903	2244159	13	8	PD_nalls2019	CD8ET_onek1k_ENSG00000162585	0.221782	-0.21085	0.65987	0.0491872	0	0.43736	0.297686
ENSG00000157873	TNFRSF14	1	2387078	2596821	72	16	PD_nalls2019	CD4NC_onek1k_ENSG00000157873	-0.136998	-0.50632	0.22791	0.0187685	0	0.25812	0.443387
ENSG00000157873	TNFRSF14	1	2387078	2596821	71	16	UC_delange2017	CD4NC_onek1k_ENSG00000157873	-0.47692	-0.78415	-0.1562	0.227453	0.02452	0.6149	0.00721516
ENSG00000157873	TNFRSF14	1	2387078	2596821	72	16	MS_imsgc2019	CD4NC_onek1k_ENSG00000157873	-0.0459138	-0.3576	0.26799	0.00210807	0	0.1346	0.764291
ENSG00000157873	TNFRSF14	1	2387078	2596821	63	11	UC_delange2017	CD8ET_onek1k_ENSG00000157873	-0.824387	-1	-0.5351	0.679614	0.28633	1	0.000116189
ENSG00000157873	TNFRSF14	1	2387078	2596821	63	11	MS_imsgc2019	CD8ET_onek1k_ENSG00000157873	-0.255749	-0.60543	0.11042	0.0654076	0	0.36655	0.157985
ENSG00000157873	TNFRSF14	1	2387078	2596821	16	3	UC_delange2017	CD8NC_onek1k_ENSG00000157873	-0.66234	-0.98562	-0.29236	0.438694	0.08547	0.97145	0.00434825
ENSG00000157873	TNFRSF14	1	2387078	2596821	16	3	MS_imsgc2019	CD8NC_onek1k_ENSG00000157873	-0.00032163	-0.40233	0.40354	1.03446e-07	0	0.21127	0.998701
ENSG00000069424	KCNAB2	1	5951526	6261253	185	25	PD_nalls2019	CD8ET_onek1k_ENSG00000069424	0.13423	-0.05585	0.32439	0.0180177	0	0.10523	0.169064
ENSG00000069424	KCNAB2	1	5951526	6261253	165	18	PD_nalls2019	CD8NC_onek1k_ENSG00000069424	0.294765	0.04962	0.52566	0.0868865	0.00314	0.27632	0.0201116
ENSG00000116288	PARK7	1	7914351	8145565	79	6	CD_delange2017	BIN_onek1k_ENSG00000116288	-0.434024	-0.9431	0.07458	0.188377	0	0.88943	0.110831
ENSG00000116288	PARK7	1	7914351	8145565	79	6	UC_delange2017	BIN_onek1k_ENSG00000116288	0.0860066	-0.47037	0.6293	0.00739714	0	0.42207	0.740734
ENSG00000116288	PARK7	1	7914351	8145565	91	17	PD_nalls2019	CD4NC_onek1k_ENSG00000116288	-0.175164	-0.44191	0.08789	0.0306826	0	0.19528	0.184138
ENSG00000116288	PARK7	1	7914351	8145565	140	13	PD_nalls2019	CD8ET_onek1k_ENSG00000116288	0.00797198	-0.40798	0.419	6.35525e-05	0	0.22446	0.968226
ENSG00000116288	PARK7	1	7914351	8145565	137	13	UC_delange2017	CD8ET_onek1k_ENSG00000116288	-0.57281	-0.96758	-0.17497	0.328112	0.03082	0.93621	0.00939812
ENSG00000116288	PARK7	1	7914351	8145565	49	6	CD_delange2017	CD8NC_onek1k_ENSG00000116288	-0.732267	-1	-0.33818	0.536215	0.11436	1	0.00375251
ENSG00000116288	PARK7	1	7914351	8145565	49	6	UC_delange2017	CD8NC_onek1k_ENSG00000116288	-0.325169	-0.79351	0.16703	0.105735	0	0.62965	0.177997
ENSG00000131686	CA6	1	8905926	9135151	51	23	PD_nalls2019	CD4NC_onek1k_ENSG00000131686	0.0155774	-0.10628	0.13408	0.000242654	0	0.02021	0.801061
