locus	chr	start	stop	n_snps	n_pcs	phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p
3	1	2215496	2983519	888	123	MS_imsgc2019	PD_nalls2019	-0.040346	-0.29128	0.20131	0.0016278	0	0.0884	0.736575
3	1	2215496	2983519	888	123	MS_imsgc2019	SCZ_pardinas2018	-0.262243	-0.77833	0.1748	0.0687714	0	0.6058	0.226717
3	1	2215496	2983519	888	123	MS_imsgc2019	UC_delange2017	0.949355	0.63523	1	0.901276	0.40351	1	4.65039e-06
3	1	2215496	2983519	888	123	PD_nalls2019	SCZ_pardinas2018	0.171544	-0.07966	0.43268	0.0294275	0	0.18721	0.166082
3	1	2215496	2983519	888	123	PD_nalls2019	UC_delange2017	0.137263	-0.08717	0.37178	0.018841	0	0.13822	0.222137
3	1	2215496	2983519	888	123	SCZ_pardinas2018	UC_delange2017	-0.294989	-0.77012	0.11834	0.0870184	0	0.59309	0.156799
10	1	7711795	8580987	1165	140	CD_delange2017	PD_nalls2019	-0.183486	-0.38945	0.01769	0.0336673	0	0.15167	0.0693764
10	1	7711795	8580987	1165	140	CD_delange2017	SCZ_pardinas2018	0.0975704	-0.29901	0.49317	0.00951999	0	0.25367	0.606325
10	1	7711795	8580987	1165	140	PD_nalls2019	SCZ_pardinas2018	-0.179859	-0.43443	0.0573	0.0323492	0	0.18873	0.132101
21	1	19238925	20556202	2426	212	PD_nalls2019	UC_delange2017	-0.034467	-0.16872	0.09734	0.00118797	0	0.02925	0.608568
24	1	22145630	22740287	1272	157	PD_nalls2019	UC_delange2017	0.11129	-0.07281	0.29227	0.0123855	0	0.08542	0.226818
27	1	25885139	27992665	1737	145	CD_delange2017	PD_nalls2019	-0.038084	-0.25339	0.17495	0.00145039	0	0.06883	0.722691
30	1	30405183	31639217	2280	207	AD_schwartzentruber2021	PD_nalls2019	0.275544	0.05079	0.53001	0.0759245	0.00299	0.28092	0.0198224
30	1	30405183	31639217	2280	207	AD_schwartzentruber2021	SCZ_pardinas2018	0.0653335	-0.25052	0.38589	0.00426846	0	0.15362	0.674085
30	1	30405183	31639217	2280	207	PD_nalls2019	SCZ_pardinas2018	0.156735	-0.01124	0.32805	0.0245659	0	0.10761	0.0693027
40	1	43512670	45167235	2197	207	LBD_chia2021	PD_nalls2019	0.176878	-0.04372	0.40125	0.0312858	0	0.161	0.114851
40	1	43512670	45167235	2197	207	LBD_chia2021	SCZ_pardinas2018	-0.292136	-0.70705	0.07187	0.0853432	0	0.49992	0.112011
